year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
28,1147,543,604,36,42,21,106,38,14,0.43427378675411354,0.17208015311657698,0.5476482584356388,0.6047219536112662,0.3319327731092437,0.14068441064638784,1001.9999999999999,0.631578947368421,0.33565823888404533,0.09241499564080209,-0.011206896551724138,2.8578427583242036,0.7929867556106905,0.5552391371473447,14.074978204010462,0.5051457941773514,0.5111610879626932,19.285714285714285,0.8140001233120466,0.521559325310962,0.4564260742434906,42,ELITE_POLYGYNY
29,1131,540,591,44,53,19,87,31,14,0.40545982830754634,0.16627229688009204,0.5323459341542522,0.5839415016943106,0.3022222222222222,0.14457831325301204,1008.5106382978723,0.6984126984126984,0.3271441202475685,0.07692307692307693,-0.013949433304272014,5.255681892704095,0.8008234088767994,0.5295996679281121,14.260831122900088,0.504303833004778,0.5118850724321855,21.30188679245283,0.8189940377027474,0.5632487782899133,0.47310062490567706,42,ELITE_POLYGYNY
30,1134,537,597,48,42,1,62,28,10,0.40807387920714544,0.1631938066587295,0.5300434980489297,0.5885665670338276,0.33031674208144796,0.15447154471544716,984.7826086956521,0.9795918367346939,0.31393298059964725,0.054673721340388004,0.002652519893899204,5.3059112092903336,0.8068821253417225,0.5325727859495937,14.40652557319224,0.5047684886331494,0.5119159223048967,21.952380952380953,0.0,0.6810150683155086,0.4963007604563502,42,ELITE_POLYGYNY
31,1133,535,598,55,52,3,85,31,16,0.41527527115552143,0.16942832919380302,0.5321425002981381,0.5937960437631273,0.3640552995391705,0.15086206896551724,990.9090909090908,0.9482758620689655,0.29567519858781993,0.07502206531332745,-0.0008818342151675485,5.124629236902009,0.8019083488937963,0.5375689964727204,14.310679611650485,0.5037587431792959,0.5135338131542281,24.173076923076923,0.0,0.6349502588891514,0.4651222631257689,42,ELITE_POLYGYNY
32,1154,556,598,60,36,5,80,30,8,0.4161563992874895,0.17561097607026088,0.5504322414193659,0.6053994490358126,0.4177777777777778,0.2157676348547718,984.7826086956521,0.9230769230769231,0.2772963604852686,0.06932409012131716,0.018534863195057368,6.2162462936890055,0.7980832943100116,0.5431061690269472,14.347487001733102,0.5033868263207938,0.5138369878760743,21.944444444444443,0.0,0.6536811329976049,0.4659334086686273,42,ELITE_POLYGYNY
33,1169,565,604,51,34,4,65,39,15,0.4111830706063422,0.17286473336170483,0.5517088974042792,0.6021252951798861,0.4043478260869565,0.21862348178137653,980.8510638297871,0.9272727272727272,0.2822925577416595,0.055603079555175364,0.012998266897746967,6.982371510595166,0.8020177272454966,0.5453720250625816,14.473909324208725,0.5037747326792499,0.5129948465619932,23.676470588235293,0.0,0.6715190989231463,0.48449648439040893,42,ELITE_POLYGYNY
34,1164,562,602,46,47,5,90,32,7,0.40518206587985595,0.16431915613162396,0.5551461191105054,0.61283126377466,0.41452991452991456,0.208,1006.25,0.9019607843137255,0.28780068728522334,0.07731958762886598,-0.00427715996578272,7.6895077271859815,0.8116034703744133,0.5423448462109586,14.804123711340207,0.5044499054420186,0.5127615384045215,18.29787234042553,0.0,0.617367344586162,0.4591853713755543,42,ELITE_POLYGYNY
35,1167,565,602,51,44,3,62,30,8,0.40757854510949865,0.16593654468610652,0.5885598339022027,0.6309788010402058,0.4380165289256198,0.2527881040892193,976.4705882352941,0.9444444444444444,0.2887746358183376,0.05312767780634105,0.002577319587628866,7.562513918468633,0.8109663048713828,0.5497630218843023,14.817480719794345,0.5027289693810801,0.5143211184110805,24.545454545454547,0.0,0.6707974003400794,0.49038997264292405,42,ELITE_POLYGYNY
36,1165,561,604,53,50,5,74,42,3,0.4112537323713261,0.1664914063195635,0.5945909997783196,0.6383519304311385,0.4087301587301587,0.22014925373134328,969.2307692307692,0.9137931034482759,0.3072961373390558,0.06351931330472103,-0.001713796058269066,6.940470213690114,0.8106686365254065,0.5543290745736851,14.893562231759656,0.5017275754453225,0.5142983042693745,21.38,0.0,0.6452991839733114,0.48387382814551805,42,ELITE_POLYGYNY
37,1163,560,603,48,48,6,75,40,14,0.4027037993641065,0.16162000100863327,0.62117420342652,0.6660588189648484,0.45627376425855515,0.25524475524475526,977.7777777777778,0.8888888888888888,0.3061049011177988,0.0644883920894239,-0.0017167381974248926,7.61751752373402,0.8156492654891682,0.5537110756359105,15.080825451418745,0.5005714393341394,0.5154879946886619,20.75,0.0,0.63914787118551,0.48272142315491445,42,ELITE_POLYGYNY
38,1174,573,601,58,44,4,64,49,16,0.41157109033985106,0.165594858211231,0.6097883597883598,0.6555244755244756,0.44363636363636366,0.21403508771929824,962.5,0.9354838709677419,0.32112436115843274,0.054514480408858604,0.009458297506448839,6.695334488399503,0.8124051669184328,0.5570817294404276,15.165247018739352,0.49979942119089915,0.5153869779379184,21.136363636363637,0.0,0.6774119807408912,0.5004052170695457,42,ELITE_POLYGYNY
39,1188,580,608,58,43,5,64,37,14,0.4093413840588107,0.17073241682119256,0.6179724592879647,0.6504626464287342,0.44366197183098594,0.2214765100671141,943.1034482758621,0.9206349206349206,0.3282828282828283,0.05387205387205387,0.01192504258943782,7.974734539265336,0.8079715105191982,0.5631287100425825,15.1489898989899,0.5001300357296762,0.5163389886970713,23.3953488372093,0.0,0.6786498393707492,0.5040945180377511,42,ELITE_POLYGYNY
40,1211,590,621,73,43,2,69,49,20,0.4160169887852181,0.1806756264273135,0.6068362352563588,0.6277154784316936,0.42105263157894735,0.246875,935.0,0.9733333333333334,0.3352601156069364,0.05697770437654831,0.01936026936026936,8.049446009772176,0.7980546487274673,0.5710451029182942,15.086705202312139,0.49917363852793406,0.517232311482113,20.46511627906977,0.0,0.694312665712777,0.5030118345845875,42,ELITE_POLYGYNY
41,1238,596,642,83,52,8,72,53,13,0.4335090630401224,0.19577395721499014,0.5721947870057114,0.6111538461538462,0.34191176470588236,0.17721518987341772,956.8965517241379,0.9120879120879121,0.3546042003231018,0.05815831987075929,0.022295623451692816,6.756503297281635,0.7817719764191792,0.5864258234820192,14.71324717285945,0.4994979552387634,0.5166288979406379,24.346153846153847,0.0,0.6795689391079727,0.5080651294508918,42,ELITE_POLYGYNY
