year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,scarcity,civilization_stability,social_cohesion,seed,scenario
47,2805,1390,1415,86,97,59,155,72,23,0.1436778755570547,0.1715263181580875,0.5830638927373439,0.6443603478834936,0.4229452054794521,0.16787003610108303,1247.787610619469,0.593103448275862,0.28449197860962566,0.05525846702317291,-0.007079646017699115,4.88608342080025,0.8006787701265218,0.7073381026692243,14.159714795008913,0.5079194670497216,0.5006387400396728,0.7217606482966523,0.6222467371965399,0.48075460475027193,42,RESOURCE_ABUNDANCE
48,2802,1392,1410,97,92,71,126,84,24,0.13519008629013807,0.16173764289022152,0.589678847800361,0.6453792280027375,0.39522998296422485,0.16608996539792387,1234.4827586206898,0.5773809523809523,0.2987152034261242,0.044967880085653104,-0.0010695187165775401,4.4225429760305754,0.8116187830105793,0.6852883547034546,14.33690221270521,0.5074894555502711,0.5015422200500457,0.700936256250719,0.6435931625060719,0.4989573591120954,42,RESOURCE_ABUNDANCE
49,2792,1370,1422,77,81,81,137,100,28,0.12431742902817855,0.1481810636911185,0.5808474516217301,0.6334316628788748,0.3673469387755102,0.16091954022988506,1162.1848739495797,0.4873417721518987,0.31626074498567336,0.049068767908309455,-0.0035688793718772305,4.102047040460962,0.8257556320977577,0.6546372344058609,14.708810888252149,0.5071669681404108,0.5016244605148539,0.8425508643759119,0.6172390377458485,0.5000050850655404,42,RESOURCE_ABUNDANCE
50,2744,1340,1404,83,116,87,167,99,26,0.12714582961045884,0.14342401930120796,0.5855506884149475,0.6323323939189456,0.3525423728813559,0.1693548387096774,1132.2314049586776,0.48823529411764705,0.3268950437317784,0.0608600583090379,-0.017191977077363897,3.819840620152003,0.8314669077270743,0.6261559950423186,14.887755102040817,0.5060107130341414,0.5018439902402215,0.8682234614785637,0.5871818496261659,0.48907578851591366,42,RESOURCE_ABUNDANCE
51,2758,1353,1405,117,96,82,118,109,37,0.10684707429059848,0.14819355195253658,0.5686177465180444,0.6133585803413202,0.35510887772194305,0.16246056782334384,1091.0569105691056,0.5879396984924623,0.3321247280638144,0.04278462654097172,0.00510204081632653,6.596076851731066,0.8291384191642843,0.6067114329218203,14.96047860768673,0.5062168550913301,0.5023544919746984,0.8105539414435989,0.6663593199794371,0.5137046684359998,42,RESOURCE_ABUNDANCE
52,2855,1388,1467,180,78,13,112,104,34,0.1267833716247173,0.16972652476032501,0.5584262345949942,0.6044990017035841,0.35760517799352753,0.16036308623298035,1037.795275590551,0.9326424870466321,0.33345008756567424,0.03922942206654991,0.03517041334300217,7.746242351343522,0.8102146869309339,0.6174199458360211,14.807005253940455,0.5063614784669739,0.5025999020826556,0.0,0.784147740814743,0.5187107138978608,42,RESOURCE_ABUNDANCE
53,2935,1442,1493,152,71,23,123,98,28,0.1505707606466964,0.1744399029238688,0.5640148943177168,0.6102230684790417,0.3552833078101072,0.17055393586005832,1036.0902255639098,0.8685714285714285,0.3373083475298126,0.041908006814310055,0.028021015761821366,5.579342910108658,0.8056675206362088,0.6210155194298279,14.901192504258944,0.5067987722327112,0.5028284498245021,0.0,0.752783962683346,0.5168042930473478,42,RESOURCE_ABUNDANCE
54,2961,1450,1511,116,86,85,144,105,43,0.14929241721283049,0.1692418648353864,0.5625807247398023,0.6168834994745056,0.38088235294117645,0.17039106145251395,1012.2302158273382,0.5771144278606966,0.34278959810874704,0.0486322188449848,0.008858603066439524,4.622697453294517,0.8100539693995711,0.603516896991591,15.044241810199257,0.5061916521717528,0.5030874414036061,0.6326533176177125,0.6517488380378825,0.5104210623432729,42,RESOURCE_ABUNDANCE
55,2945,1442,1503,104,114,78,159,107,32,0.14258078775410388,0.16088386829514612,0.5591471890398818,0.6128925082876193,0.37662337662337664,0.17503392130257803,944.055944055944,0.5714285714285714,0.3531409168081494,0.05398981324278438,-0.005403579871664978,4.0601255096207725,0.8179439867525324,0.5869952630934602,15.155857385398981,0.5055000319506558,0.5032156147834258,0.6126660705879953,0.6309238230917029,0.5073983002427421,42,RESOURCE_ABUNDANCE
56,2942,1458,1484,122,120,103,132,123,38,0.10717978449502574,0.15876039391707963,0.550546545341863,0.6034256930960946,0.38342696629213485,0.17269076305220885,918.6206896551723,0.5422222222222223,0.3592794017675051,0.04486743711760707,-0.0010186757215619694,7.018893625246173,0.8203522099052796,0.5682705602742611,15.259347382732836,0.5058297268521064,0.5032582951871687,0.8306054135050348,0.6496916775237036,0.5209668122964854,42,RESOURCE_ABUNDANCE
57,3046,1511,1535,218,103,11,139,122,42,0.13483405251097702,0.1853251387367867,0.5413807890222986,0.5914411606060819,0.3727144866385373,0.18075422626788037,916.8918918918919,0.9519650655021834,0.3532501641497045,0.04563361785948785,0.03535010197144799,8.117501959277343,0.79472045864416,0.5856189060746156,14.934340118187787,0.5047695283853945,0.5028314649536735,0.0,0.7809116556780223,0.5177281211095062,42,RESOURCE_ABUNDANCE
58,3084,1528,1556,163,115,29,147,118,33,0.1586721085429985,0.18743069423477032,0.5368511619261058,0.586473415164223,0.3370473537604457,0.16666666666666666,902.0134228187919,0.8489583333333334,0.3634889753566796,0.047665369649805445,0.01247537754432042,5.7137750760925865,0.7914915529693171,0.5961300134782961,14.864461738002595,0.5041507821474676,0.5028128743117087,0.0,0.7260058309978479,0.5187645790372646,42,RESOURCE_ABUNDANCE
59,3051,1511,1540,111,134,92,149,110,36,0.15088737894896131,0.17469091990621077,0.5369982802343545,0.5893771730545307,0.34599728629579374,0.18112244897959184,881.578947368421,0.5467980295566502,0.36840380203212064,0.04883644706653556,-0.010700389105058366,4.626394870629269,0.8021653873936063,0.5750109519944778,14.96165191740413,0.5044630315917871,0.5019715015028398,0.8805767235127394,0.6278275421993267,0.5186843724792087,42,RESOURCE_ABUNDANCE
60,3061,1519,1542,138,122,70,143,112,25,0.11319104601765684,0.17213725015748071,0.5359358693277567,0.5911274666221331,0.3351206434316354,0.168141592920354,869.2810457516339,0.6634615384615384,0.37700098007187194,0.04671675922901013,0.0032776138970829235,7.153086682475408,0.8047359602045521,0.5632052712138683,14.977458346945443,0.5050530753820309,0.5023113895332402,0.6813254852979784,0.6829797974762017,0.5244789498021886,42,RESOURCE_ABUNDANCE
61,3076,1527,1549,144,118,27,133,109,43,0.137169613613062,0.1722308415101026,0.531063736383097,0.5895746817984198,0.35743519781718963,0.1724137931034483,868.2119205298013,0.8421052631578947,0.3637841352405722,0.043237971391417426,0.004900359359686377,5.18289325452909,0.8047355886582894,0.5716601120756097,15.028933680104032,0.5048285194958207,0.5019133985338826,0.0,0.7277034156255073,0.5240423425084816,42,RESOURCE_ABUNDANCE
62,3009,1515,1494,86,145,85,134,102,39,0.132983992224329,0.15855386662912418,0.5254766767504595,0.5832479710030731,0.34257975034674065,0.16555407209612816,862.5850340136054,0.5029239766081871,0.3652376204719176,0.044533067464273844,-0.021781534460338103,4.3242738327710795,0.8180041272439826,0.5527095190348169,15.156862745098039,0.5054434479512696,0.5020648644054632,0.8548496215182368,0.6153387031212197,0.5229927785970141,42,RESOURCE_ABUNDANCE
63,2907,1459,1448,71,161,68,191,98,40,0.1207084815681223,0.14669102390242128,0.5206965973095006,0.5814777891565774,0.337295690936107,0.14726507713884993,842.7536231884059,0.5107913669064749,0.36257309941520466,0.06570347437220503,-0.03389830508474576,3.989431359837292,0.8290278298443842,0.5366777583054918,15.268317853457173,0.5061740765670955,0.501850528828024,0.6812314402158877,0.5754885936822216,0.4955114533612749,42,RESOURCE_ABUNDANCE
