year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
21,1022,499,523,72,31,11,61,38,8,0.23495977360697262,0.17607980425117375,0.6222872710728127,0.6399849421212787,0.3426294820717131,0.19230769230769232,1050.9803921568628,0.8674698795180723,0.3669275929549902,0.05968688845401174,0.04073319755600815,4.34256156678881,0.8012859789246535,0.5994880134334806,15.989236790606654,0.5099543993546902,0.5043304731650411,29.580645161290324,0.0,0.7261175189763627,0.5055482362327484,42,FREE_COMPETITION
22,1039,510,529,50,30,18,57,46,18,0.2419156928973314,0.1771906262918279,0.6145617164535335,0.6361461121815093,0.3574144486692015,0.1760299625468165,1062.264150943396,0.7352941176470589,0.37439846005774785,0.0548604427333975,0.016634050880626222,4.044022053726421,0.8001079156795893,0.5967343615559798,16.053897978825795,0.5101951352847811,0.5034645768303051,23.133333333333333,0.0,0.6759435466214906,0.5138497383355869,42,FREE_COMPETITION
23,1068,522,546,62,33,14,54,37,10,0.2496407124009965,0.18777913679176494,0.5994160282074776,0.6239111265873263,0.34220532319391633,0.16058394160583941,1077.3584905660375,0.8157894736842105,0.37734082397003743,0.05056179775280899,0.02791145332050048,4.512956006164782,0.7898548993690231,0.5995585830203467,15.912921348314606,0.5108028591774303,0.5032223788770065,23.818181818181817,0.0,0.7126891062276459,0.5201559927493045,42,FREE_COMPETITION
24,1088,530,558,56,33,12,67,36,12,0.26093149011391237,0.18975105048592233,0.6000103617994992,0.6190483920715575,0.34944237918215615,0.1993006993006993,1067.2727272727273,0.8235294117647058,0.3713235294117647,0.06158088235294118,0.018726591760299626,3.7130819842063745,0.78643666861503,0.600149563827589,15.716911764705882,0.5134111103884765,0.5020779312938101,30.0,0.0,0.6857498525610465,0.5038183048704652,42,FREE_COMPETITION
25,1110,545,565,71,44,17,65,42,13,0.2632467407389387,0.19883003261825194,0.5746770528095362,0.5928506397570723,0.3295880149812734,0.1952054794520548,1025.4545454545453,0.8068181818181818,0.372972972972973,0.05855855855855856,0.02022058823529412,4.049702696864616,0.7765880046077909,0.6067386515555165,15.392792792792793,0.5146069828055649,0.5014132446963817,25.181818181818183,0.0,0.68738389365016,0.5079076402208951,42,FREE_COMPETITION
26,1128,548,580,64,41,19,82,40,14,0.28864447691582606,0.20072676409336387,0.5626016800762461,0.5895584106364935,0.3408239700374532,0.18275862068965518,1041.8181818181818,0.7710843373493976,0.36613475177304966,0.0726950354609929,0.016216216216216217,2.980535393754589,0.7716364259181059,0.6062784693280612,15.233156028368795,0.5154155379514795,0.5009684419926199,24.414634146341463,0.0,0.6471360647448685,0.48766574559137427,42,FREE_COMPETITION
27,1128,547,581,50,48,16,87,44,16,0.2760384834675589,0.18709922533807055,0.5604165455289485,0.5938941257383283,0.3492647058823529,0.18900343642611683,1019.6428571428571,0.7575757575757576,0.36613475177304966,0.07712765957446809,0.0,2.8066112926409277,0.7833677179941075,0.5996251874335137,15.311170212765957,0.5160410920336927,0.4998472178348325,22.25,0.0,0.6234149661046829,0.48167647578641526,42,FREE_COMPETITION
28,1139,555,584,52,41,12,83,39,14,0.2647645679067723,0.182415671790648,0.5489608430784902,0.5790722636977566,0.358974358974359,0.1701388888888889,1012.5,0.8125,0.36347673397717295,0.07287093942054433,0.00975177304964539,2.818872773381128,0.7888395663007478,0.5931162027121103,15.350307287093942,0.5156525202999704,0.49966921774333084,23.585365853658537,0.0,0.6551389604340504,0.4859958697136625,42,FREE_COMPETITION
29,1130,554,576,37,43,15,93,37,16,0.24959648202954687,0.16773290244621308,0.5449063768351612,0.5763039525313427,0.37777777777777777,0.17421602787456447,1016.3636363636364,0.7115384615384616,0.3584070796460177,0.08230088495575222,-0.007901668129938543,2.6472982705750634,0.8023085960219399,0.5805253863504387,15.606194690265486,0.5150034988854713,0.5009510716852733,22.953488372093023,0.0,0.6003733853620419,0.4729468003555252,42,FREE_COMPETITION
30,1137,555,582,40,28,19,78,32,17,0.22275197204935648,0.15891497215432815,0.5446821736992697,0.595432529849065,0.39855072463768115,0.17132867132867133,1000.0,0.6779661016949152,0.3544415127528584,0.06860158311345646,0.006194690265486726,3.5807648901754283,0.8134607526188622,0.573268027206414,15.851363236587511,0.515420908376945,0.5019099748776813,26.178571428571427,0.0,0.6313996735220883,0.4890665405227524,42,FREE_COMPETITION
