condition,seed,year,is_state,raid_enabled,mean_coop,between_sel,demographic_sel,raid_sel,fst_prosocial,violence_rate,total_pop,n_bands
B_State_Raid,3141,100,True,True,0.5017945386746008,0.0890704001226984,-0.28301945860954086,0.46116025885493767,0.095337,0.03296703296703297,230,4
B_State_Raid,3141,150,True,True,0.5038093882598426,-0.013319086956403534,-0.026638173912807067,0.0,0.136071,0.023809523809523808,413,4
B_State_Raid,3141,200,True,True,0.5153563838364695,-0.03663413196078564,-0.07326826392157128,0.0,0.168129,0.01809954751131222,568,7
B_State_Raid,4096,100,True,True,0.5372891028036244,0.21987933061889953,0.43975866123779905,0.0,0.126929,0.0,157,4
B_State_Raid,4096,150,True,True,0.5284099655823863,0.5533797319779403,0.6690300791480623,0.4377293848078182,0.155595,0.007936507936507936,312,4
B_State_Raid,4096,200,True,True,0.5294062054261961,0.14596420649623595,0.2919284129924719,0.0,0.169278,0.0055248618784530384,345,5
B_State_Raid,7777,100,True,True,0.4735576391216736,-0.014231160859772385,-0.506870142098447,0.4784078203789023,0.249019,0.038461538461538464,323,4
B_State_Raid,7777,150,True,True,0.49135626474543437,-0.10036511652044769,-0.3109792415392479,0.11024900849835251,0.27236,0.03571428571428571,376,4
B_State_Raid,7777,200,True,True,0.46294369077757463,-0.12452944520312896,-0.26145764599096283,0.012398755584704907,0.272878,0.03488372093023256,355,5
C_Free_NoRaid,42,100,False,False,0.5037368128511548,0.2254413290139587,0.4508826580279174,0.0,0.114476,0.0,231,4
C_Free_NoRaid,42,150,False,False,0.49750932582737567,0.13372716127618628,0.26745432255237256,0.0,0.148052,0.0,233,4
C_Free_NoRaid,42,200,False,False,0.49760357067482464,0.025942316866171072,0.051884633732342145,0.0,0.231919,0.0,247,4
C_Free_NoRaid,137,100,False,False,0.49410302396692907,0.048311650695381514,0.09662330139076303,0.0,0.243739,0.0,258,4
C_Free_NoRaid,137,150,False,False,0.4905456670803321,0.06696624801196258,0.13393249602392515,0.0,0.264511,0.0,307,4
C_Free_NoRaid,137,200,False,False,0.4834981647710592,0.007517237724891344,0.015034475449782689,0.0,0.376128,0.0,258,4
C_Free_NoRaid,271,100,False,False,0.4715769954838589,-0.09469089704409078,-0.18938179408818157,0.0,0.052043,0.0,197,4
C_Free_NoRaid,271,150,False,False,0.4957136908240919,-0.06004325736913728,-0.12008651473827456,0.0,0.13185,0.0,121,4
C_Free_NoRaid,271,200,False,False,0.5011178430172062,0.20150820484425236,0.4030164096885047,0.0,0.276416,0.0,164,4
C_Free_NoRaid,512,100,False,False,0.5150043766370819,-0.16778298122678142,-0.33556596245356285,0.0,0.315734,0.0,235,4
C_Free_NoRaid,512,150,False,False,0.5165258295955986,0.19139603134979022,0.38279206269958044,0.0,0.445032,0.0,275,4
C_Free_NoRaid,512,200,False,False,0.5048114034027986,0.1555557716024975,0.311111543204995,0.0,0.399878,0.0,377,5
C_Free_NoRaid,999,100,False,False,0.5044962686654475,-0.0592673002310693,-0.1185346004621386,0.0,0.156016,0.0,247,4
C_Free_NoRaid,999,150,False,False,0.49785872725625424,-0.15689974576589227,-0.31379949153178455,0.0,0.256626,0.0,383,5
C_Free_NoRaid,999,200,False,False,0.5022823228808317,0.17182431864163927,0.34364863728327855,0.0,0.226928,0.0,508,6
C_Free_NoRaid,1337,100,False,False,0.5473952777702704,-0.28860021705489425,-0.5772004341097885,0.0,0.290496,0.0,204,4
C_Free_NoRaid,1337,150,False,False,0.5436496755012763,-0.18000966386342984,-0.3600193277268597,0.0,0.293958,0.0,227,4
C_Free_NoRaid,1337,200,False,False,0.5579380532170181,0.32451537427623256,0.6490307485524651,0.0,0.379171,0.0,315,4
C_Free_NoRaid,2048,100,False,False,0.5633593736473509,-0.15469522252452103,-0.30939044504904206,0.0,0.208616,0.0,211,4
C_Free_NoRaid,2048,150,False,False,0.5529019843124771,-0.11159089035310472,-0.22318178070620945,0.0,0.217064,0.0,208,4
C_Free_NoRaid,2048,200,False,False,0.5575586403760274,-0.16930731149785785,-0.3386146229957157,0.0,0.275427,0.0,220,4
C_Free_NoRaid,3141,100,False,False,0.48533630441057113,0.2345176196776247,0.4690352393552494,0.0,0.267219,0.0,251,4
C_Free_NoRaid,3141,150,False,False,0.4834359971579245,0.3170150264513591,0.6340300529027182,0.0,0.30595,0.0,271,4
C_Free_NoRaid,3141,200,False,False,0.4773720391376549,-0.009266268588411918,-0.018532537176823835,0.0,0.314566,0.0,218,4
C_Free_NoRaid,4096,100,False,False,0.49887725667178945,-0.19349102486635084,-0.38698204973270167,0.0,0.138929,0.0,208,4
C_Free_NoRaid,4096,150,False,False,0.49133776607505286,-0.1326884316822377,-0.2653768633644754,0.0,0.154465,0.0,324,4
C_Free_NoRaid,4096,200,False,False,0.4978544093446921,-0.052276897191497515,-0.10455379438299503,0.0,0.170162,0.0,489,6
C_Free_NoRaid,7777,100,False,False,0.4498746616828159,0.20400711951501294,0.40801423903002587,0.0,0.432793,0.0,124,4
C_Free_NoRaid,7777,150,False,False,0.46059738700193,0.26621634602543964,0.5324326920508793,0.0,0.513785,0.0,143,4
C_Free_NoRaid,7777,200,False,False,0.45545692458168185,0.3786960958550885,0.757392191710177,0.0,0.582426,0.0,159,4
D_State_NoRaid,42,100,True,False,0.4876030890163605,0.021966464381523543,0.04393292876304709,0.0,0.342885,0.0,209,4
D_State_NoRaid,42,150,True,False,0.49158683043537965,0.016760511666583273,0.03352102333316655,0.0,0.328408,0.0,278,4
D_State_NoRaid,42,200,True,False,0.4781671408920777,-0.0978815221525724,-0.1957630443051448,0.0,0.30482,0.0,384,4
D_State_NoRaid,137,100,True,False,0.5054983334915564,0.20981499223265332,0.41962998446530664,0.0,0.161561,0.0,202,4
D_State_NoRaid,137,150,True,False,0.5024633520529013,-0.14071229509578367,-0.28142459019156735,0.0,0.239332,0.0,232,4
D_State_NoRaid,137,200,True,False,0.49268513476315334,0.2468032882577693,0.4936065765155386,0.0,0.247025,0.0,241,4
D_State_NoRaid,271,100,True,False,0.4724337047985825,-0.11017433164418552,-0.22034866328837105,0.0,0.143406,0.0,200,4
D_State_NoRaid,271,150,True,False,0.47955258612481777,-0.1867624476490063,-0.3735248952980126,0.0,0.160689,0.0,192,4
D_State_NoRaid,271,200,True,False,0.495291114904702,0.062230220796266646,0.12446044159253329,0.0,0.220429,0.0,294,5
D_State_NoRaid,512,100,True,False,0.4954023388129526,0.03597816374313206,0.07195632748626413,0.0,0.297167,0.0,215,4
D_State_NoRaid,512,150,True,False,0.5262779992077552,0.2767747703435568,0.5535495406871136,0.0,0.284976,0.0,374,4
D_State_NoRaid,512,200,True,False,0.5097138754066991,-0.1301656847006294,-0.2603313694012588,0.0,0.306474,0.0,430,6
D_State_NoRaid,999,100,True,False,0.5233150017750378,-0.19931325397043728,-0.39862650794087456,0.0,0.268207,0.0,208,4
D_State_NoRaid,999,150,True,False,0.5271690280760037,0.201658777082767,0.403317554165534,0.0,0.325645,0.0,290,4
D_State_NoRaid,999,200,True,False,0.5346889288931984,0.3514268795069196,0.7028537590138392,0.0,0.357351,0.0,285,4
D_State_NoRaid,1337,100,True,False,0.5108724994952231,-0.020361611441066088,-0.040723222882132176,0.0,0.142819,0.0,205,4
D_State_NoRaid,1337,150,True,False,0.5171572445814001,0.022419327955356214,0.04483865591071243,0.0,0.236171,0.0,254,4
D_State_NoRaid,1337,200,True,False,0.529103413398432,-0.05312535743605522,-0.10625071487211044,0.0,0.250428,0.0,342,4
D_State_NoRaid,2048,100,True,False,0.4995654037897007,0.0,0.0,0.0,0.467435,0.0,208,4
D_State_NoRaid,2048,150,True,False,0.4999798521145026,-0.20942779305367218,-0.41885558610734436,0.0,0.411425,0.0,244,4
D_State_NoRaid,2048,200,True,False,0.49761082461658057,-0.10061836169201344,-0.20123672338402687,0.0,0.507401,0.0,217,5
D_State_NoRaid,3141,100,True,False,0.5216575900420783,-0.10314172110017954,-0.20628344220035907,0.0,0.097675,0.0,244,4
D_State_NoRaid,3141,150,True,False,0.5161641328938751,-0.21867570795027988,-0.43735141590055976,0.0,0.09832,0.0,258,5
D_State_NoRaid,3141,200,True,False,0.5112793040085178,-0.08396671484992484,-0.16793342969984967,0.0,0.200794,0.0,320,5
D_State_NoRaid,4096,100,True,False,0.5372891028036244,0.21987933061889953,0.43975866123779905,0.0,0.126929,0.0,157,4
D_State_NoRaid,4096,150,True,False,0.5286396233412702,-0.310736030989063,-0.621472061978126,0.0,0.144213,0.0,215,4
D_State_NoRaid,4096,200,True,False,0.5281019021637512,-0.3716513036613256,-0.7433026073226512,0.0,0.180593,0.0,234,4
D_State_NoRaid,7777,100,True,False,0.4698440769304115,0.11223564453251422,0.22447128906502845,0.0,0.219966,0.0,311,4
D_State_NoRaid,7777,150,True,False,0.4846842773947612,0.07167735213213879,0.14335470426427757,0.0,0.254689,0.0,324,5
D_State_NoRaid,7777,200,True,False,0.4930203097310318,0.24004382108040967,0.48008764216081934,0.0,0.252387,0.0,369,5
