year,population,males,females,births,deaths,infant_deaths,conflicts,bonds_formed,bonds_dissolved,resource_gini,status_gini,reproductive_skew,mating_inequality,unmated_male_pct,unmated_female_pct,elite_repro_advantage,child_survival_rate,pair_bonded_pct,violence_rate,pop_growth_rate,avg_resources,avg_status,avg_health,avg_age,avg_aggression,avg_cooperation,avg_lifespan,scarcity,civilization_stability,social_cohesion,seed,scenario
22,1019,500,519,72,30,13,36,35,9,0.25354774182224116,0.19112994719168763,0.5707592109158437,0.5501857424997647,0.14516129032258066,0.18773946360153257,976.0,0.8470588235294118,0.41609421000981356,0.03532875368007851,0.042988741044012284,4.428355271315336,0.7890382007149653,0.6380025133095236,15.947006869479882,0.5130003731002274,0.5033471315679097,35.766666666666666,0.0,0.7634648995432713,0.5528108840305005,42,ENFORCED_MONOGAMY
23,1045,516,529,62,36,19,29,44,19,0.2654238695025206,0.19850498481151435,0.5538637384169489,0.538810450250139,0.15953307392996108,0.18726591760299627,982.6923076923076,0.7654320987654321,0.4143540669856459,0.027751196172248804,0.02551521099116781,4.293784049865004,0.7791612043457247,0.6455298653556076,15.665071770334928,0.5131930224850486,0.503031889641848,26.694444444444443,0.0,0.7343147775714953,0.5615476840864042,42,ENFORCED_MONOGAMY
24,1097,548,549,88,34,3,29,46,16,0.28256464941704884,0.22101746694098878,0.5466526346842042,0.5281422770194235,0.15925925925925927,0.18450184501845018,1012.9629629629629,0.967032967032967,0.4083865086599818,0.02643573381950775,0.049760765550239235,4.568084243584835,0.7544362964027065,0.6609641905428172,15.077484047402006,0.5135689579226258,0.5021348831808508,27.41176470588235,0.0,0.8066104529948068,0.5607445640289492,42,ENFORCED_MONOGAMY
25,1132,572,560,61,24,13,43,49,17,0.2826090735909821,0.21169183110185852,0.5390643667124817,0.5238770664556118,0.1474820143884892,0.15770609318996415,1009.0909090909091,0.8243243243243243,0.4169611307420495,0.037985865724381625,0.03190519598906107,4.177138995777418,0.7601989925935335,0.6606654641206203,15.041519434628976,0.5138224534084719,0.5019241323034067,26.458333333333332,0.0,0.7370298333766807,0.549223716525603,42,ENFORCED_MONOGAMY
26,1157,585,572,69,41,18,41,38,15,0.2875427359784133,0.20871744669849934,0.5279230147015903,0.5204932531460049,0.1524822695035461,0.1494661921708185,1037.5,0.7931034482758621,0.4131374243733794,0.03543647363872083,0.022084805653710248,3.6185306135283164,0.760941703534313,0.6621575214188192,14.869490060501297,0.5147174306820891,0.5028045529201687,24.21951219512195,0.0,0.7216680237249188,0.5514243276503492,42,ENFORCED_MONOGAMY
27,1200,611,589,70,27,15,35,43,20,0.28463902769988025,0.20456268153869495,0.5070367882129454,0.4965252860973677,0.1482758620689655,0.1413427561837456,1045.6140350877192,0.8235294117647058,0.4083333333333333,0.029166666666666667,0.037165082108902334,3.560104200716057,0.7650735805234595,0.6614365219988972,14.921666666666667,0.5143429276805019,0.503820749874395,19.444444444444443,0.0,0.7536196295101028,0.5579866332830913,42,ENFORCED_MONOGAMY
28,1228,622,606,63,35,18,37,38,21,0.27623114643166513,0.19738697882235878,0.4988134793333321,0.4930615256895119,0.16382252559726962,0.13333333333333333,1008.7719298245614,0.7777777777777778,0.4006514657980456,0.03013029315960912,0.023333333333333334,3.58127644052566,0.7720223650756388,0.6635823277334282,14.832247557003257,0.5132552454155704,0.5050982394515502,27.285714285714285,0.0,0.727433828621738,0.5546044423604246,42,ENFORCED_MONOGAMY
29,1234,625,609,49,39,16,73,46,24,0.29237992515987576,0.18272426206018455,0.4893715270382777,0.4764841410029952,0.16551724137931034,0.16551724137931034,950.0,0.7538461538461538,0.39222042139384117,0.05915721231766612,0.004885993485342019,2.3718206535174886,0.7862087292946163,0.6507821468212716,15.018638573743923,0.5141766795333869,0.5051946969613726,23.0,0.0,0.6549687916474823,0.5154085108753108,42,ENFORCED_MONOGAMY
30,1218,614,604,31,42,31,72,45,21,0.2919630570607612,0.16376803956781916,0.4716728431054118,0.4672574857708487,0.1527777777777778,0.14084507042253522,922.8070175438596,0.5,0.4006568144499179,0.059113300492610835,-0.012965964343598054,1.7791665793147138,0.8050034989054775,0.6078951040830474,15.433497536945813,0.5143869752759791,0.5060424895104658,22.69047619047619,0.8068885949664748,0.5750699956728212,0.518755255245894,42,ENFORCED_MONOGAMY
31,1188,594,594,22,49,19,60,37,19,0.26480064368238976,0.14476756089807918,0.4616818531409279,0.46405422831546095,0.13309352517985612,0.1044776119402985,870.3703703703704,0.5365853658536586,0.4048821548821549,0.050505050505050504,-0.024630541871921183,1.4792959480896288,0.8237929912149282,0.566484607954872,15.73989898989899,0.5136725524232221,0.5057187846739479,26.224489795918366,0.828354656888937,0.5915304183297629,0.5308649549470202,42,ENFORCED_MONOGAMY
